Nomor Rekening,recency,frequency,consistency,avg_interval,std_interval,avg_berat,trend_berat,days_active,churn
BSLH0328,106.0,36.0,0.85,10.34,7.21,0.9944,-0.0694,379.0,1
BSLH0329,337.0,21.0,0.5714,6.9,4.02,2.4,0.0787,148.0,1
BSLH0330,168.0,46.0,0.88,6.58,4.1,1.5543,0.0081,317.0,1
BSLH0331,413.0,11.0,1.0,6.7,1.64,1.0727,-0.0509,72.0,1
BSLH0332,96.0,27.0,0.2727,14.38,31.59,2.2148,0.1918,384.0,1
BSLH0333,99.0,26.0,0.2273,14.8,23.81,1.2538,0.0496,381.0,1
BSLH0334,176.0,26.0,0.35,11.96,12.4,2.2962,0.0154,309.0,1
BSLH0335,239.0,32.0,0.8333,7.52,2.87,1.7,-0.0726,246.0,1
BSLH0336,337.0,10.0,0.5714,16.11,6.09,1.21,-0.0127,148.0,1
BSLH0337,239.0,44.0,0.4516,5.23,3.91,1.2977,-0.0176,246.0,1
BSLH0338,463.0,2.0,0.5,22.0,0.0,1.95,1.1,22.0,1
BSLH0339,123.0,58.0,1.2692,5.81,3.98,1.1034,-0.003,362.0,1
BSLH0340,14.0,63.0,0.4884,7.03,8.06,1.4238,-0.005,467.0,1
BSLH0341,121.0,41.0,0.68,8.62,5.79,1.1707,-0.016,364.0,1
BSLH0342,93.0,57.0,0.7576,6.54,3.27,2.1105,-0.0036,392.0,1
BSLH0343,319.0,27.0,0.75,6.0,3.78,3.537,-0.1979,166.0,1
BSLH0344,170.0,35.0,0.2414,8.82,9.4,1.2629,-0.0136,315.0,1
BSLH0345,9.0,48.0,0.4412,9.7,9.5,1.6875,0.0115,476.0,1
BSLH0346,2.0,63.0,0.8824,7.35,6.75,1.454,-0.014,483.0,0
BSLH0347,274.0,25.0,0.5294,8.33,8.72,1.432,-0.0564,211.0,1
BSLH0348,17.0,30.0,0.1071,15.72,37.19,1.7667,-0.0632,468.0,1
BSLH0349,80.0,52.0,0.8276,7.45,4.84,1.4731,-0.0041,405.0,1
BSLH0350,17.0,56.0,0.7273,8.0,4.96,2.5982,0.0134,468.0,1
BSLH0351,226.0,31.0,0.5238,8.13,6.07,1.6774,-0.0586,259.0,1
BSLH0352,129.0,30.0,0.1923,11.79,21.62,1.6467,0.0224,356.0,1
BSLH0353,226.0,31.0,0.5238,8.13,6.12,2.0548,-0.0394,259.0,1
BSLH0354,150.0,28.0,0.2083,11.89,14.68,1.2536,-0.015,335.0,1
BSLH0355,184.0,23.0,0.2,13.32,16.92,4.2043,-0.4191,301.0,1
BSLH0356,247.0,28.0,0.3182,8.33,9.03,4.2857,-0.3873,238.0,1
BSLH0357,246.0,33.0,0.7,7.0,5.4,1.9515,-0.0539,238.0,1
BSLH0358,319.0,23.0,0.7143,7.05,3.26,1.4609,-0.0536,166.0,1
BSLH0359,99.0,29.0,0.2,13.32,22.87,1.6828,-0.0045,386.0,1
BSLH0360,123.0,55.0,1.3333,6.19,3.91,3.8691,0.0797,361.0,1
BSLH0361,183.0,27.0,0.5556,11.19,8.75,1.3815,-0.0954,302.0,1
BSLH0362,112.0,24.0,0.4706,15.83,12.35,1.1375,-0.0605,372.0,1
BSLH0363,3.0,64.0,0.8056,7.21,4.34,1.1953,-0.0085,482.0,0
BSLH0364,82.0,34.0,0.2069,11.79,26.19,1.8676,-0.075,403.0,1
BSLH0365,274.0,22.0,0.6429,9.52,5.2,1.7636,-0.0313,211.0,1
BSLH0366,141.0,12.0,0.625,31.0,37.07,0.9083,0.1157,343.0,1
BSLH0367,194.0,17.0,0.2857,17.38,15.98,2.9471,-0.3255,284.0,1
BSLH0368,92.0,24.0,0.3158,16.65,19.99,1.4292,0.013,392.0,1
BSLH0369,45.0,38.0,0.3929,11.41,12.57,2.1184,-0.0026,440.0,1
BSLH0370,92.0,21.0,0.2222,19.15,34.11,1.1476,0.0422,392.0,1
BSLH0371,346.0,10.0,0.8333,14.89,7.83,0.8,0.0509,139.0,1
BSLH0372,16.0,34.0,0.0938,13.61,29.3,1.8941,0.0231,469.0,1
BSLH0373,323.0,12.0,2.25,14.18,12.14,1.375,0.008,162.0,1
BSLH0374,0.0,49.0,0.6129,9.6,5.76,1.2714,0.0383,484.0,0
BSLH0375,268.0,10.0,0.8333,23.56,10.43,1.66,-0.0376,217.0,1
BSLH0376,106.0,30.0,0.1923,12.52,19.94,1.8167,-0.0126,379.0,1
BSLH0377,134.0,30.0,0.24,11.48,15.21,1.79,-0.0069,349.0,1
BSLH0378,191.0,35.0,0.5,8.12,8.57,1.9343,0.0306,293.0,1
BSLH0379,2.0,44.0,0.5,10.72,11.08,2.2523,0.028,482.0,0
BSLH0380,2.0,37.0,0.6522,12.92,7.62,1.3027,-0.0172,482.0,1
BSLH0381,10.0,52.0,0.5143,8.78,6.63,1.4615,-0.0026,474.0,0
BSLH0382,10.0,50.0,0.4571,9.16,7.13,1.428,0.0007,474.0,0
BSLH0383,232.0,28.0,0.5263,8.85,5.32,1.5679,0.0133,252.0,1
BSLH0384,9.0,52.0,0.4324,8.8,8.62,2.3038,0.0149,474.0,0
BSLH0385,2.0,44.0,0.6071,10.67,6.52,1.3455,-0.0111,482.0,1
BSLH0387,337.0,14.0,0.5,10.85,8.43,2.1786,-0.0143,147.0,1
BSLH0388,337.0,13.0,0.2727,11.83,12.71,1.7846,0.1604,147.0,1
BSLH0389,289.0,17.0,0.6364,11.81,11.49,1.4706,0.0081,195.0,1
BSLH0390,239.0,40.0,0.4643,5.87,7.2,1.12,-0.0094,245.0,1
BSLH0391,112.0,43.0,0.6296,8.36,6.64,1.6186,-0.0174,371.0,1
BSLH0392,112.0,20.0,0.2353,19.11,19.42,1.165,-0.096,371.0,1
BSLH0393,107.0,31.0,0.28,12.13,12.63,1.2032,-0.016,376.0,1
BSLH0394,106.0,41.0,0.6154,8.88,6.11,0.5627,-0.0165,377.0,1
BSLH0395,416.0,4.0,0.6667,22.0,17.09,1.325,0.29,67.0,1
BSLH0396,198.0,20.0,0.5,14.58,14.21,1.71,0.0436,286.0,1
BSLH0397,112.0,30.0,0.55,12.38,10.29,1.6267,-0.0525,371.0,1
BSLH0398,252.0,16.0,0.5455,14.87,8.22,0.9812,0.0193,231.0,1
BSLH0399,24.0,44.0,0.3235,10.23,11.76,1.6818,0.0061,460.0,0
BSLH0400,24.0,16.0,1.125,30.2,23.52,4.45,-0.93,460.0,1
BSLH0401,274.0,9.0,0.6667,25.75,17.33,0.4889,0.0133,210.0,1
BSLH0402,252.0,16.0,0.5455,14.87,8.22,1.1,-0.0171,231.0,1
BSLH0403,0.0,27.0,0.4,18.19,10.67,0.6778,-0.0217,483.0,1
BSLH0404,252.0,16.0,0.5455,14.87,8.22,0.9625,0.0062,231.0,1
BSLH0405,106.0,44.0,0.6071,8.3,6.51,0.5977,-0.0061,377.0,1
BSLH0406,106.0,40.0,0.64,9.13,6.32,0.5075,-0.0083,377.0,1
BSLH0407,394.0,11.0,0.5,8.6,4.77,2.0364,0.0,90.0,1
BSLH0408,240.0,22.0,0.3529,11.05,8.75,1.4864,-0.0199,243.0,1
BSLH0409,386.0,12.0,0.625,8.55,5.05,1.0417,-0.0948,98.0,1
BSLH0410,3.0,64.0,0.8056,7.14,3.19,1.1672,-0.0105,481.0,0
BSLH0411,260.0,26.0,0.8,8.4,5.33,1.5462,-0.0809,223.0,1
BSLH0412,162.0,19.0,0.1765,17.39,24.47,1.2842,-0.0318,322.0,1
BSLH0413,106.0,34.0,0.8421,10.88,12.77,0.6618,-0.0245,377.0,1
BSLH0414,155.0,10.0,0.5714,36.0,49.7,0.89,0.1036,328.0,1
BSLH0415,334.0,17.0,0.2857,8.88,8.31,1.8588,0.0422,150.0,1
BSLH0416,197.0,8.0,0.5,35.43,35.12,1.7625,0.0821,251.0,1
BSLH0417,17.0,48.0,0.4848,9.43,7.05,1.6812,-0.0202,467.0,1
BSLH0418,282.0,19.0,0.5385,10.78,6.25,4.7947,-0.8523,202.0,1
BSLH0419,288.0,19.0,0.4286,10.67,8.69,1.3789,-0.0418,196.0,1
BSLH0420,121.0,41.0,0.6154,8.6,5.79,1.339,-0.0172,363.0,1
BSLH0421,309.0,19.0,1.0,9.22,6.63,1.1632,-0.0516,175.0,1
BSLH0422,14.0,22.0,0.15,21.86,56.29,1.2773,-0.0493,469.0,0
BSLH0423,144.0,19.0,0.3333,18.39,19.06,1.8842,0.103,339.0,1
BSLH0424,92.0,71.0,0.3585,5.14,6.05,1.7338,-0.0212,391.0,0
BSLH0425,194.0,17.0,0.5,17.75,8.81,2.2059,-0.0652,290.0,1
BSLH0426,92.0,56.0,0.5405,6.71,6.57,2.4357,-0.0242,391.0,1
BSLH0427,92.0,55.0,0.5556,6.87,6.73,2.2527,-0.0273,391.0,1
BSLH0428,92.0,62.0,0.4,6.07,6.7,2.271,-0.0156,391.0,0
BSLH0429,92.0,50.0,0.3784,7.59,11.27,2.428,-0.029,391.0,1
BSLH0430,92.0,58.0,0.5526,6.49,6.57,2.4397,-0.0234,391.0,1
BSLH0431,121.0,54.0,1.1154,6.36,3.49,1.2278,-0.0174,364.0,1
BSLH0432,121.0,48.0,1.1304,7.28,4.8,0.9896,-0.0046,364.0,1
BSLH0433,316.0,16.0,0.5455,10.8,6.44,0.9875,0.0091,168.0,1
BSLH0434,123.0,60.0,1.2593,5.68,3.23,13.995,0.4818,361.0,0
BSLH0435,224.0,29.0,0.5789,8.79,6.48,0.9931,-0.0116,260.0,1
BSLH0436,231.0,11.0,0.7143,24.2,14.9,0.7818,0.0073,247.0,1
BSLH0437,24.0,35.0,0.3333,13.06,20.11,3.1371,-0.0919,460.0,0
BSLH0438,319.0,14.0,0.5,12.31,6.1,1.3714,-0.0563,165.0,1
BSLH0439,9.0,47.0,0.3714,9.83,8.05,1.5894,-0.0093,475.0,0
BSLH0440,247.0,25.0,0.4444,9.46,9.7,1.856,0.0007,237.0,1
BSLH0441,17.0,24.0,0.1905,19.74,44.25,1.5875,-0.046,467.0,1
BSLH0442,354.0,5.0,1.0,32.25,5.97,0.88,0.32,130.0,1
BSLH0443,64.0,40.0,0.5185,10.26,11.71,1.725,-0.0045,420.0,1
BSLH0444,248.0,20.0,0.6154,12.0,8.12,2.485,-0.0222,236.0,1
BSLH0445,101.0,49.0,0.7241,7.48,5.09,1.1551,-0.0184,383.0,1
BSLH0446,484.0,2.0,0.5,0.0,0.0,0.65,-0.7,0.0,1
BSLH0447,33.0,26.0,0.125,17.56,38.22,2.4615,-0.1214,451.0,1
BSLH0448,112.0,24.0,0.4706,15.65,19.53,2.0792,-0.0192,371.0,1
BSLH0449,17.0,41.0,0.5,11.2,9.38,1.1488,-0.008,467.0,0
BSLH0450,182.0,26.0,0.2857,11.56,12.31,1.4423,0.0097,302.0,1
BSLH0451,213.0,28.0,0.5263,9.56,7.67,1.4286,0.0248,271.0,1
BSLH0452,191.0,27.0,0.4737,10.81,8.96,1.4778,0.0114,293.0,1
BSLH0453,9.0,40.0,0.3667,11.72,13.14,2.1825,-0.0294,475.0,1
BSLH0454,319.0,9.0,0.4286,20.38,21.35,1.2111,-0.0567,165.0,1
BSLH0455,315.0,27.0,0.75,6.12,4.02,2.1037,0.069,168.0,1
BSLH0456,2.0,67.0,0.7436,6.83,4.01,3.7209,-0.044,482.0,0
BSLH0457,28.0,97.0,0.3425,4.55,9.21,2.7186,0.0101,455.0,1
BSLH0458,3.0,57.0,0.7059,8.07,5.27,1.186,-0.0147,481.0,0
BSLH0459,179.0,7.0,0.1429,50.67,72.74,2.5143,-0.2107,305.0,1
BSLH0460,8.0,63.0,0.5238,7.23,7.32,1.8714,0.0127,476.0,0
BSLH0461,337.0,18.0,0.5833,8.18,3.5,2.8722,-0.0207,146.0,1
BSLH0462,413.0,10.0,0.5714,7.56,2.51,3.51,-0.7012,70.0,1
BSLH0463,126.0,55.0,1.1538,6.17,4.22,1.1455,-0.0038,358.0,1
BSLH0465,222.0,15.0,0.6,18.29,15.55,2.88,0.0161,262.0,1
BSLH0466,354.0,2.0,0.5,130.0,0.0,1.0,-0.0,130.0,1
BSLH0467,220.0,16.0,0.5455,17.13,16.07,2.6,-0.1185,264.0,1
BSLH0468,73.0,147.0,0.0207,2.75,14.47,12.602,0.0423,411.0,1
BSLH0469,254.0,23.0,0.3333,9.95,12.06,1.3174,-0.0134,230.0,1
BSLH0470,9.0,49.0,0.3514,9.4,8.24,1.5816,-0.0067,475.0,0
BSLH0471,150.0,19.0,0.3333,18.11,16.61,3.2211,0.0319,334.0,1
BSLH0472,3.0,63.0,0.8824,7.27,3.11,1.1714,-0.01,481.0,0
BSLH0473,197.0,10.0,0.375,24.0,35.32,2.61,-0.2491,219.0,0
BSLH0474,9.0,18.0,0.1176,27.59,47.09,1.3611,0.0051,475.0,1
BSLH0475,106.0,36.0,0.7619,10.23,12.13,0.5,-0.0123,377.0,1
BSLH0476,99.0,47.0,0.6,7.87,6.87,1.2404,0.0001,385.0,1
BSLH0477,224.0,16.0,0.3077,17.0,16.08,3.2875,0.0406,260.0,1
BSLH0478,361.0,18.0,0.4615,6.76,4.34,1.3667,-0.0873,123.0,1
BSLH0479,413.0,6.0,0.1667,14.0,12.57,1.25,0.5629,71.0,1
BSLH0480,150.0,33.0,0.4167,9.94,11.86,1.2636,-0.0164,334.0,1
BSLH0481,245.0,28.0,0.6111,8.37,4.35,1.3071,-0.0273,239.0,1
BSLH0482,191.0,27.0,0.3333,10.85,10.93,3.5222,-0.1689,293.0,1
BSLH0483,212.0,37.0,0.52,7.11,4.46,0.8432,0.0005,272.0,1
BSLH0484,121.0,40.0,0.64,8.87,5.54,2.8125,0.037,363.0,1
BSLH0485,252.0,17.0,0.6364,14.0,8.69,0.9824,0.0194,232.0,1
BSLH0486,329.0,14.0,0.25,11.46,14.05,0.8357,-0.0547,155.0,1
BSLH0487,219.0,20.0,0.6154,13.47,11.22,2.15,0.0241,265.0,1
BSLH0488,98.0,35.0,0.3333,10.88,9.94,0.9057,-0.0084,386.0,1
BSLH0489,92.0,54.0,0.5714,7.04,6.67,2.337,-0.0274,392.0,1
BSLH0491,267.0,23.0,0.4118,9.5,8.44,1.0739,-0.005,217.0,1
BSLH0492,150.0,57.0,0.2609,5.7,8.17,6.3895,0.1937,334.0,1
BSLH0493,302.0,2.0,0.5,183.0,0.0,2.25,-0.5,183.0,1
BSLH0494,182.0,38.0,0.2188,7.97,11.57,1.2026,0.026,302.0,1
BSLH0495,134.0,31.0,0.2308,11.13,15.98,2.9968,-0.0376,350.0,1
BSLH0496,260.0,25.0,0.5294,9.0,6.77,0.896,-0.0163,225.0,1
BSLH0497,93.0,131.0,0.5904,2.78,3.83,2.0992,0.0087,391.0,1
BSLH0498,98.0,35.0,0.3846,10.91,9.59,1.64,-0.0141,386.0,0
BSLH0499,357.0,12.0,0.8571,11.09,6.53,0.9417,0.1052,127.0,1
BSLH0500,150.0,38.0,0.56,8.62,7.23,4.4237,0.0106,335.0,1
BSLH0501,157.0,38.0,0.3929,8.38,7.91,4.5921,0.0634,327.0,1
BSLH0502,141.0,13.0,0.4,28.25,29.62,2.4077,-0.1775,343.0,1
BSLH0503,407.0,5.0,0.5,19.0,10.3,1.28,0.18,77.0,1
BSLH0504,225.0,15.0,0.6,18.14,22.31,1.44,-0.0061,260.0,1
BSLH0505,214.0,32.0,0.9412,8.26,4.17,1.4031,-0.0185,271.0,1
BSLH0506,225.0,32.0,0.65,7.84,4.86,1.5438,-0.0363,259.0,1
BSLH0507,239.0,32.0,0.7368,7.52,3.61,1.6188,-0.0383,245.0,1
BSLH0508,225.0,33.0,0.7,7.56,4.98,1.4091,-0.0232,259.0,1
BSLH0509,247.0,22.0,0.4375,10.86,9.4,0.7909,-0.0082,238.0,1
BSLH0510,43.0,22.0,0.0952,20.57,42.78,0.7909,0.0183,442.0,1
BSLH0511,156.0,22.0,0.6429,15.19,16.87,1.8773,-0.0453,328.0,1
BSLH0512,309.0,14.0,0.25,13.0,20.89,1.7071,-0.1712,175.0,1
BSLH0513,247.0,34.0,0.8421,6.76,2.29,1.0824,-0.0094,238.0,1
BSLH0514,338.0,5.0,2.0,36.25,34.44,1.36,-0.61,147.0,1
BSLH0515,218.0,38.0,0.625,6.73,3.66,2.0184,0.0598,267.0,1
BSLH0516,456.0,4.0,0.6667,8.67,4.73,10.9,0.42,27.0,1
BSLH0517,0.0,60.0,0.7941,7.76,5.31,1.325,-0.0104,484.0,1
BSLH0518,0.0,56.0,0.6765,8.33,5.71,1.3268,-0.0124,484.0,1
BSLH0519,0.0,34.0,0.75,14.21,15.59,1.4088,-0.0176,484.0,1
BSLH0520,334.0,6.0,0.4,29.8,20.17,1.4833,-0.3457,151.0,1
BSLH0521,0.0,60.0,0.6486,7.73,5.09,2.2,-0.0488,484.0,1
BSLH0522,184.0,13.0,0.5556,24.75,25.9,1.2077,-0.0165,301.0,1
BSLH0523,309.0,15.0,0.6,12.0,9.98,4.4333,-0.2921,175.0,1
BSLH0524,287.0,3.0,1.0,98.5,74.25,3.5333,0.75,197.0,1
BSLH0525,106.0,41.0,0.6154,8.88,7.17,0.5237,-0.0088,378.0,1
BSLH0526,194.0,35.0,0.6364,7.94,4.92,1.2429,-0.0026,289.0,1
BSLH0527,149.0,31.0,0.3913,10.63,9.51,1.6065,0.0067,333.0,1
BSLH0528,414.0,13.0,0.5556,5.33,3.87,2.0769,-0.1462,69.0,1
BSLH0529,0.0,50.0,0.7586,9.37,6.71,3.838,0.0341,483.0,0
BSLH0530,149.0,32.0,0.5,10.32,11.33,1.7812,-0.0923,335.0,0
BSLH0531,247.0,6.0,0.1667,47.2,87.71,1.7833,-0.4943,237.0,1
BSLH0532,309.0,25.0,0.8571,6.71,2.48,1.288,-0.0562,176.0,1
BSLH0533,44.0,49.0,0.6667,8.67,6.71,1.4286,0.0052,440.0,1
BSLH0534,24.0,51.0,0.7333,8.68,5.49,1.4745,-0.004,461.0,0
BSLH0535,24.0,50.0,0.5938,8.8,6.61,1.606,-0.0028,461.0,0
BSLH0536,239.0,26.0,0.8,9.4,7.15,1.0038,-0.05,245.0,1
BSLH0537,324.0,19.0,0.5385,8.28,4.53,1.7474,-0.0791,159.0,1
BSLH0538,224.0,15.0,0.6,17.93,10.29,0.66,-0.0439,259.0,1
BSLH0539,309.0,17.0,0.6364,10.38,8.94,1.6765,-0.1199,174.0,1
BSLH0541,10.0,22.0,1.3,22.29,25.69,1.7591,0.0992,475.0,0
BSLH0542,478.0,2.0,0.5,5.0,0.0,2.25,-2.5,5.0,1
BSLH0543,14.0,48.0,0.4412,9.55,11.2,1.7771,0.008,469.0,1
BSLH0544,157.0,16.0,2.4,21.33,33.18,0.8188,0.0078,326.0,1
BSLH0545,150.0,13.0,0.5556,27.33,21.48,1.3154,0.0956,334.0,1
BSLH0546,3.0,63.0,0.8824,7.27,3.65,1.1619,-0.0113,481.0,0
BSLH0547,247.0,33.0,0.8889,6.94,2.8,1.4818,-0.0236,237.0,1
BSLH0548,334.0,5.0,0.2,37.0,43.44,2.86,-0.53,150.0,1
BSLH0549,70.0,41.0,0.4483,9.88,9.75,1.622,-0.0123,413.0,0
BSLH0550,443.0,2.0,0.5,40.0,0.0,0.55,0.9,40.0,1
BSLH0551,407.0,8.0,0.2857,10.29,8.3,0.7875,0.1369,76.0,1
BSLH0552,80.0,53.0,0.8,7.27,3.4,1.5302,-0.006,404.0,0
BSLH0553,402.0,2.0,0.5,77.0,0.0,1.0,1.6,77.0,1
BSLH0559,478.0,2.0,0.5,0.0,0.0,3.7,4.6,0.0,1
BSLH0560,45.0,5.0,1.0,109.5,158.16,1.44,0.55,439.0,1
BSLH0561,240.0,31.0,0.6,7.57,4.52,1.2677,-0.0116,243.0,1
BSLH0562,282.0,15.0,0.4545,14.07,13.36,2.6133,-0.155,202.0,1
BSLH0563,254.0,22.0,0.2105,10.43,15.36,1.2682,0.0117,229.0,1
BSLH0564,224.0,29.0,0.7647,8.82,4.81,3.4069,0.1409,260.0,1
BSLH0565,288.0,16.0,0.4167,12.53,17.88,1.7188,-0.036,195.0,1
BSLH0566,239.0,5.0,1.0,61.0,61.58,0.98,0.05,245.0,1
BSLH0567,10.0,64.0,0.6667,7.02,5.92,2.3078,-0.0065,475.0,0
BSLH0568,246.0,29.0,0.5,7.86,7.69,1.6966,0.0095,232.0,1
BSLH0569,232.0,22.0,0.4375,11.57,8.63,1.1045,-0.0431,253.0,1
BSLH0570,260.0,39.0,0.3333,6.68,6.8,1.641,0.0419,267.0,1
BSLH0571,182.0,20.0,0.1667,15.37,17.9,1.885,-0.0876,297.0,1
BSLH0572,2.0,51.0,0.5294,9.16,5.55,1.4529,-0.0025,482.0,0
BSLH0573,480.0,2.0,0.5,3.0,0.0,0.45,0.3,3.0,1
BSLH0574,191.0,29.0,0.5,9.93,7.36,2.1655,0.0677,292.0,1
BSLH0575,9.0,44.0,0.3636,10.63,9.81,1.8455,0.0087,475.0,1
BSLH0576,273.0,24.0,0.1905,8.78,14.19,1.5458,-0.0738,210.0,1
BSLH0577,2.0,56.0,0.6286,8.33,4.94,1.5196,-0.0213,483.0,0
BSLH0578,327.0,4.0,0.25,52.0,50.69,2.975,0.13,157.0,1
BSLH0579,218.0,28.0,0.5263,9.41,6.06,1.7214,-0.0679,266.0,1
BSLH0580,267.0,21.0,0.375,10.4,8.28,1.6143,-0.0251,217.0,1
BSLH0581,232.0,28.0,0.45,8.93,7.39,1.3036,-0.0331,253.0,1
BSLH0582,252.0,2.0,0.5,232.0,0.0,0.85,-0.3,232.0,1
BSLH0583,2.0,36.0,0.4231,13.37,23.48,1.2056,-0.0062,483.0,0
BSLH0584,267.0,18.0,0.4615,12.29,11.25,1.1,-0.0658,217.0,1
BSLH0585,232.0,27.0,0.4,9.27,7.3,1.0222,-0.0205,253.0,1
BSLH0586,476.0,2.0,0.5,8.0,0.0,2.5,0.2,8.0,1
BSLH0587,45.0,40.0,0.7826,10.79,9.3,1.9475,-0.034,439.0,1
BSLH0588,240.0,17.0,0.2857,14.75,17.83,2.6647,0.1184,244.0,1
BSLH0589,315.0,17.0,0.5,10.0,10.09,2.0706,-0.1684,169.0,1
BSLH0590,2.0,56.0,0.6286,8.35,4.93,1.2946,-0.0014,483.0,0
BSLH0591,93.0,37.0,0.3571,10.42,9.48,1.4757,-0.0102,391.0,1
BSLH0592,276.0,24.0,0.5625,8.57,3.93,1.3,0.0038,209.0,1
BSLH0593,162.0,38.0,0.625,8.27,5.59,10.3842,-0.2656,322.0,1
BSLH0594,276.0,27.0,0.6471,7.42,3.53,1.5593,0.0017,209.0,1
BSLH0595,17.0,33.0,0.1724,14.06,17.56,2.903,0.2216,467.0,1
BSLH0596,338.0,7.0,0.1429,23.83,28.58,1.4429,0.2036,147.0,1
BSLH0597,149.0,24.0,0.4706,14.09,15.68,1.1667,-0.0291,335.0,1
BSLH0598,9.0,22.0,0.0455,22.14,61.06,1.2227,-0.0184,475.0,1
BSLH0599,252.0,20.0,0.4,11.74,10.91,1.095,-0.0453,232.0,1
BSLH0600,70.0,48.0,0.4412,8.38,8.7,2.1771,0.0135,414.0,0
BSLH0601,247.0,7.0,0.3333,38.0,36.09,1.2286,0.0929,230.0,1
BSLH0602,247.0,22.0,0.3529,10.62,10.92,1.5091,-0.1593,232.0,1
BSLH0603,333.0,6.0,0.1667,28.8,41.87,1.4333,0.1486,145.0,1
BSLH0604,316.0,5.0,1.0,41.5,37.17,0.94,-0.15,167.0,1
BSLH0605,336.0,9.0,0.25,17.25,16.77,2.9556,-0.5967,141.0,1
BSLH0606,366.0,10.0,0.375,12.0,13.36,3.87,0.1679,112.0,1
BSLH0607,2.0,32.0,0.0312,14.9,47.59,1.3156,-0.0019,477.0,0
BSLH0608,295.0,17.0,0.6364,11.44,9.88,2.4235,0.3017,190.0,1
BSLH0609,294.0,17.0,0.6364,11.12,9.76,2.5588,0.3287,185.0,1
BSLH0610,149.0,29.0,0.3636,11.54,13.34,2.0345,-0.1134,336.0,1
BSLH0611,337.0,21.0,0.6923,6.65,3.05,1.819,-0.0469,140.0,1
BSLH0612,247.0,7.0,0.3333,38.0,36.09,1.2143,0.1036,230.0,1
BSLH0613,191.0,32.0,0.65,8.74,8.06,2.0062,-0.0386,287.0,1
BSLH0614,191.0,23.0,0.6,12.55,9.64,2.0565,-0.0063,287.0,1
BSLH0615,121.0,36.0,0.6087,9.71,10.34,2.0278,-0.0353,356.0,1
BSLH0616,222.0,28.0,1.0714,9.04,5.83,1.9464,0.0019,256.0,1
BSLH0617,260.0,18.0,1.1111,12.59,10.61,1.5444,-0.0836,219.0,1
BSLH0618,266.0,21.0,0.375,10.45,7.97,1.8571,-0.0588,219.0,1
BSLH0619,2.0,38.0,0.3448,12.46,13.34,2.0079,-0.0267,476.0,0
BSLH0620,152.0,17.0,0.5,20.0,10.13,2.1294,-0.3689,326.0,1
BSLH0621,182.0,23.0,0.4118,13.36,12.16,2.1522,0.069,303.0,1
BSLH0622,72.0,72.0,0.6222,5.24,5.78,3.5347,0.0468,407.0,1
BSLH0623,0.0,62.0,0.4,7.54,8.23,1.3065,0.0079,485.0,1
BSLH0624,106.0,69.0,0.3725,4.97,5.86,0.7768,-0.0102,371.0,1
BSLH0625,247.0,34.0,0.8421,6.52,2.73,1.1118,-0.0138,231.0,1
BSLH0626,260.0,7.0,0.3333,35.83,33.27,1.9286,0.3929,216.0,1
BSLH0627,222.0,35.0,0.8,7.29,4.59,1.6686,0.0069,264.0,1
BSLH0628,260.0,7.0,0.3333,36.0,33.1,1.9571,0.3714,218.0,1
BSLH0629,334.0,6.0,0.4,29.4,25.62,1.2,-0.0114,149.0,1
BSLH0630,436.0,2.0,0.5,47.0,0.0,2.45,2.1,47.0,1
BSLH0631,273.0,9.0,0.25,26.25,22.13,1.0333,0.0283,212.0,1
BSLH0632,222.0,36.0,0.6087,6.83,4.96,1.8028,0.0268,255.0,1
BSLH0633,84.0,11.0,0.5,39.5,30.29,1.2455,0.0809,398.0,1
BSLH0634,274.0,10.0,0.375,22.11,20.96,1.21,-0.043,203.0,1
BSLH0636,224.0,22.0,0.7692,11.57,7.59,2.2273,0.0858,253.0,1
BSLH0637,64.0,58.0,0.9032,6.82,2.32,1.4276,-0.0331,414.0,1
BSLH0638,2.0,22.0,0.15,22.33,47.25,1.5455,-0.0414,477.0,0
BSLH0639,316.0,18.0,0.4615,9.18,9.18,0.8778,0.0281,162.0,1
BSLH0640,186.0,24.0,0.3889,12.43,15.01,1.95,-0.0495,297.0,1
BSLH0641,183.0,11.0,0.0909,29.5,50.21,1.2545,0.0691,300.0,1
BSLH0642,309.0,21.0,0.6923,8.25,4.76,0.6286,0.0078,174.0,1
BSLH0643,156.0,29.0,0.2,11.07,16.76,1.0897,0.0012,326.0,1
BSLH0644,245.0,16.0,1.125,15.4,17.78,1.8562,-0.1287,237.0,1
BSLH0645,2.0,27.0,0.037,17.96,47.64,1.2333,-0.0415,481.0,1
BSLH0646,252.0,171.0,0.9111,1.24,2.57,3.1813,0.0058,231.0,1
BSLH0647,247.0,15.0,0.1429,16.43,25.32,1.1,0.0246,236.0,1
BSLH0648,0.0,63.0,0.7778,7.27,5.98,1.6159,-0.0008,482.0,0
BSLH0649,150.0,33.0,0.4167,9.97,10.02,1.3909,-0.0219,332.0,1
BSLH0650,247.0,15.0,0.1429,16.36,25.02,1.1733,-0.0096,236.0,1
BSLH0651,218.0,31.0,0.5238,8.43,4.46,1.5935,-0.0338,265.0,1
BSLH0652,247.0,15.0,0.1429,16.36,25.02,1.3533,-0.0311,236.0,1
BSLH0653,289.0,18.0,0.1875,11.12,12.14,3.4944,-0.5124,194.0,1
BSLH0654,239.0,27.0,1.0,8.96,6.1,0.7778,0.0037,244.0,1
